Document;Topic;Name;Top_n_words;Probability;Representative_document;model
 klimaschutzgrüne diplomatie für eine le  b ens  w erte  zukunftwelt   signifikante erhöhung des österreichischen beitrags zum greenclimatefund zusage an un   einführung einer klimabotschafterin bzw eines  klimabotschafters und erstellung eines konzepts  für grüne diplomatie  unterstützung des un global compact corporate sustainability initiative  österreich wird der international renew  a ble  energy agency irena beitreten um seine position als international energy hub auszubauen;0.0;0_klimaschutz_maßnahmen_umsetzung_wirtschaft;klimaschutz - maßnahmen - umsetzung - wirtschaft - ebene - europäischer - ziel - green - landwirtschaft - erhöhung;1.0;1.0;(5.0, 0.25, 25, 6)
 besondere bedeutung kommt dabei der wiederherstellung der seit abgabe der streitbeilegungserklärung  verloren gegangenen  zuständigkeiten zu sofern die einschränkungen  nicht auf unionsrecht zurückzuführen sind;5.0;5_bekennt_gemeinsame_menschen_verantwortung;bekennt - gemeinsame - menschen - verantwortung - arbeit - gemeinden - schaffung - ziel - verwaltung - behinderung;1.0;1.0;(5.0, 0.25, 25, 6)
rechte  erarbeitung und beschluss eines nationalen  aktionsplans für menschenrechte in österreich;3.0;3_europäischen_eu_migration_internationaler;europäischen - eu - migration - internationaler - österreichs - einsatz - stärkung - menschenrechte - ebene - zukunft;1.0;1.0;(5.0, 0.25, 25, 6)
 illegales glücksspiel prüfung bestehender gesetzlicher regelungen unter besonderer berücksichtigung  des beschlusses der landeshauptleutekonferenz  vom   illegales glücksspiel ist teil der organisierten  kriminalität daher implementierung im  a  stgb kriminelle organisation prüfung einer schaffung notwendiger gesetzlicher  grundlagen für die konsequente verfolgung des  internationalen drogenhandels auf dem postweg  österreich bekämpft die umweltkriminalität   umsetzung des europäischen aktionsplans  gegen umweltkriminalität und umsetzung der  darin enthaltenen empfehlungen zur verstärkung  der bekämpfung der umweltkriminalität in  österreich  darauf aufbauend erarbeitung einer österreichischen strategie auf basis des europäischen  aktionsplans  mehr sensibilisierungsmaßnahmen im privaten  bereich   massive verstärkung der kontrollen  einführung von härteren strafen für umweltsünderinnen und sünder durch eine reduktion der  schwellenwerte für die straffälligkeit  schaffung einer eigenen ganzheitlichen sicherheitsstrategie sicherheit und sport des bmi um die  sicherheit bei sportveranstaltungen gewährleisten  zu können  ratifizierung des übereinkommens des europarates über einen ganzheitlichen ansatz für sicherheit schutz und dienstleistungen bei fußballspielen und anderen sportveranstaltungen   verstärkte maßnahmen im bereich doping  wettbetrug und korruption im sport  weiterentwicklung des spitzensportprogramms  des bmi  die internetkriminalität ist im vergleich des ersten  halbjahres  rd  delikte zu  rd;2.0;2_prüfung_evaluierung_schaffung_stärkung;prüfung - evaluierung - schaffung - stärkung - berücksichtigung - möglichkeit - bekämpfung - weiterentwicklung - rahmen - sicherheit;1.0;1.0;(5.0, 0.25, 25, 6)
 delikte stark gestiegen weiters entstehen  auch neue kriminalitätsphänomene insbesondere im  cyberbereich und bedürfen deshalb einer raschen  und dynamischen reaktion zur aufklärung und  bekämpfung dieser deliktsfelder;2.0;2_prüfung_evaluierung_schaffung_stärkung;prüfung - evaluierung - schaffung - stärkung - berücksichtigung - möglichkeit - bekämpfung - weiterentwicklung - rahmen - sicherheit;1.0;1.0;(5.0, 0.25, 25, 6)
 der zweckzuschuss in der avereinbarung in  der elementarpädagogik wird ab dem kindergartenjahr  wesentlich erhöht;1.0;1_schulen_weiterentwicklung_pädagogen_hochschulen;schulen - weiterentwicklung - pädagogen - hochschulen - pädagogischen - schülerinnen - evaluierung - ausbau - elementarpädagogik - bereich;1.0;1.0;(5.0, 0.25, 25, 6)
eine besondere form der pflege stellt die palliativ und  hospizpflege dar diese versucht menschen mit unheilbaren krankheiten ein lebensende in würde zu ermöglichen diese form der pflege hat in österreich oftmals  durch das engagement von vielen freiwilligen funktioniert;6.0;6_pflege_familien_menschen_maßnahmen;pflege - familien - menschen - maßnahmen - kinder - versorgung - ausbau - betreuung - pflegende - angehörige;1.0;1.0;(5.0, 0.25, 25, 6)
 unterstützung von kindern und jugendlichen als  pflegende und betreuende angehörige erhöhte  aufmerksamkeit gegenüber dieser gruppe und  erarbeitung zielgruppenorientierter und innovativer  unterstützungsangebote  verbesserung der vereinbarkeit von pflege und  beruf bei arbeitgeberinnen und arbeitgebern ist  verstärkt das bewusstsein für die lebenssituation  pflegender angehöriger zu schaffen die pflegeteilzeit oder karenz beanspruchen wollen es werden  rahmenbedingungen gefordert die es ermöglichen  individuelle und flexible arbeitsarrangements zu  vereinbaren z  b  arbeitszeit teleworking  die rahmenbedingungen der selbstständig erwerbstätigen beim pflegekarenzgeld werden im sinne der  vereinbarkeit von pflege und beruf verbessert;6.0;6_pflege_familien_menschen_maßnahmen;pflege - familien - menschen - maßnahmen - kinder - versorgung - ausbau - betreuung - pflegende - angehörige;1.0;1.0;(5.0, 0.25, 25, 6)
auch im bereich der bestehenden kollektivverträge gibt  es fälle in denen die löhne bereits seit mehreren jahrzehnten nicht mehr angehoben wurden wenn eine sozialpartnerschaftliche einigung zur lösung dieses problems  nicht zustande kommt soll die möglichkeit geschaffen  werden eine entscheidung durch das bundeseinigungsamt  herbeizuführen die bundesregierung setzt sich zusätzlich das ziel die  finanzielle eigenständigkeit und ökonomische unabhängigkeit von frauen zu stärken zu guter arbeit und einem  guten leben gehört eine gute vereinbarkeit von freizeit  familie erholung und beruf durch maßnahmen wie u  a ;5.0;5_bekennt_gemeinsame_menschen_verantwortung;bekennt - gemeinsame - menschen - verantwortung - arbeit - gemeinden - schaffung - ziel - verwaltung - behinderung;1.0;1.0;(5.0, 0.25, 25, 6)
wohnortnahe versorgung durch kassen  är ztinnen und  ärzte darf nicht nur in der stadt sondern muss auch auf  dem land zugänglich sein neben der erweiterung der vertragsarztmodelle zur erleichterung der niederlassung im  ländlichen raum muss eine gezielte offensive für fachärztinnen und fachärzte umgesetzt werden wir wollen mit gezielten maßnahmen sicherstellen dass in den nächsten  jahren ausreichend und vor allem qualifiziertes personal  zur verfügung steht speziell in ärztlich unterversorgten  regionen gilt es mit maßnahmen wie landarztstipendien  oder einer fachärztin bzw einem facharzt für allgemeinmedizin anreize zu setzen;6.0;6_pflege_familien_menschen_maßnahmen;pflege - familien - menschen - maßnahmen - kinder - versorgung - ausbau - betreuung - pflegende - angehörige;1.0;1.0;(5.0, 0.25, 25, 6)
neben den betroffenen schülerinnen und schülern werden  besonders die pädagoginnen und pädagogen im zentrum  unserer bemühungen stehen sie leisten hervorragende  arbeit und verdienen dabei weitere unterstützung für ihre  verantwortungsvollen aufgaben darüber hinaus werden  wir die berufsbildung für die fachkräfte der zukunft  stärken und das angebot für lebensbegleitende erwachsenenbildung ausbauen wir wollen rahmenbedingungen  für alle kinder und jugendlichen zur verfügung stellen die  leistung ebenso ermöglichen wie kreativität bewegung  und die entwicklung sozialer fähigkeitenstärkung der elementaren bildung  errichtung eines beirates für elementarpädagogik  mitglieder dieses beirats sind ngosexpertinnen  und experten länder sowie gemeinden zur förderung der österreichweiten zusammenarbeit und  um vorschläge für einheitliche qualitätsmindeststandards in der elementarpädagogik zu erarbeiten;1.0;1_schulen_weiterentwicklung_pädagogen_hochschulen;schulen - weiterentwicklung - pädagogen - hochschulen - pädagogischen - schülerinnen - evaluierung - ausbau - elementarpädagogik - bereich;1.0;1.0;(5.0, 0.25, 25, 6)
 der zweckzuschuss in der avereinbarung in  der elementarpädagogik wird ab dem kindergartenjahr  wesentlich erhöht;1.0;1_schulen_weiterentwicklung_pädagogen_hochschulen;schulen - weiterentwicklung - pädagogen - hochschulen - pädagogischen - schülerinnen - evaluierung - ausbau - elementarpädagogik - bereich;1.0;1.0;(5.0, 0.25, 25, 6)
 die österreichische bundesregierung bekennt sich  zur fortführung der aktiven erinnerungspolitik im  bildungsbereich ein besonderer schwerpunkt wird  der konsequenten und langfristigen sicherung der  erinnerungsarbeit an die opfer des nationalsozialismus sowie der bildungsarbeit gegen antisemitismus  und rassismus in allen schultypen gewidmet sein;3.0;3_europäischen_eu_migration_internationaler;europäischen - eu - migration - internationaler - österreichs - einsatz - stärkung - menschenrechte - ebene - zukunft;1.0;1.0;(5.0, 0.25, 25, 6)
 eigene schulungsmodule und begleitmaßnahmen angelehnt an die ausbildungspflicht sind  zu entwickeln;1.0;1_schulen_weiterentwicklung_pädagogen_hochschulen;schulen - weiterentwicklung - pädagogen - hochschulen - pädagogischen - schülerinnen - evaluierung - ausbau - elementarpädagogik - bereich;1.0;1.0;(5.0, 0.25, 25, 6)
 sukzessive ausweitung und optimierung insbesondere hinsichtlich der benutzbarkeit und  praxistauglichkeit der digitalen behördenwege  für natürliche personen und unternehmen  schrittweiser ausbau mehrsprachiger angebote  für die anerkannten volksgruppen sowie auf  englisch  integration wichtiger ausweise in das digitale  amt u  a  des führerscheins des zulassungsscheins und des personalausweises  ermöglichen weiterer verfahren nebenwohnsitzmeldung verlustmeldung von dokumenten  strafregisterauszug digitale vignette etc und  partizipativer instrumente  ausbau einer sicheren elektronischen zustellung  von behördenkommunikation für bürgerinnen  und bürger sowie unternehmen ezustellung  auf freiwilliger basis  digitale identität ermöglichen einführung einer  eid zur nutzung im öffentlichen und privaten  bereich basierend auf einem umfassenden  datenschutzrechtlichen konzept  zum gezielten nachweis bestimmter angaben  wie alter staatsangehörigkeit etc in wahlweise anonymer pseudonymer oder identifizierter form und ohne offenlegung sämtlicher  weiteren ausweis bzw identifikationsdaten  grundsatz der datenminimierung  digitale kommunikation in der verwaltung ausbauen  um die digitalisierung der verwaltung voranzutreiben wird eine verpflichtung zur digitalen kommunikation der verwaltungsorgane des bundes unter einander eingeführt dort wo es inhaltlich sinnvoll  erscheint und es ausschreibungskonform möglich  ist soll eine partnerschaftliche zusammenarbeit mit  der post angestrebt werden länder und gemeinden  sollen bestmöglich eingebunden werden;4.0;4_digitale_digitalisierung_digitalen_verwaltung;digitale - digitalisierung - digitalen - verwaltung - berücksichtigung - daten - bürgerinnen - bereich - unternehmen - ermöglichen;1.0;1.0;(5.0, 0.25, 25, 6)
und die herausforderungen von heute verlangen nach einer neuen koalition der verantwortung dieser weg hat österreich wirtschaftlich so erfolgreich und so einzigartig  gemacht unterschiede überwinden zwischen stadt und land zwischen allen bevölkerungsgruppen einander und dem land die nötige stabilität geben um die großen  fragen anzugehen die neue volkspartei und die grünen gehen eine neue etappe dieses  österreichischen weges chancen nützen heißt verantwortung übernehmen;2.0;2_migration_internationaler_eu_österreichs;migration - internationaler - eu - österreichs - europäischen - setzt - stärkung - ebene - asyl - bundesheer;1.0;1.0;(7.0, 0.25, 20, 5)
 ausweitung und förderung der zugangsmöglichkeit  verwandter berufsgruppen zum richterstaatsanwaltsberuf und umgekehrt  prüfung einer österreichweiten vereinheit  l ichung  und professionalisierung der justiz  au s und fortbildung unter einbeziehung der wissenschaft  ergänzung der richterlichen und staatsanwaltlichen  regelausbildung um die verpflichtenden module  umweltstrafrecht und technikklauseln stand  der technik regeln der technik stand der wissenschaft und bedeutung von grundsätzlich unverbindlichen normen  schaffung geeigneter rahmenbedingungen zur  attraktivierung des amtes des familienrichters  erfahrene richterinnen bzw richter und  staatsanwältinnen bzw staatsanwälte aus den  instanzen sollen künftig ihre erreichte gehaltsposition in eine funktional niedriger entlohnte  position z  b  die der familienrichterin bzw des  familienrichters mitnehmen können;0.0;0_prüfung_schaffung_stärkung_evaluierung;prüfung - schaffung - stärkung - evaluierung - polizei - sicherheit - berücksichtigung - rahmen - beibehaltung - transparenz;1.0;1.0;(7.0, 0.25, 20, 5)
 bündelung staatsanwaltlicher ermittlungskompetenzen zur bekämpfung von umweltverbrechen  prüfung von strafrechtlichen bestimmungen die  einfluss auf den wirtschaftsstandort haben verstärkter schutz von geschäfts und betriebsgeheimnissen sowie novellierung der bestimmungen über  industriespionage  evaluierung und prüfung des untreuetatbestandes    stgb  überarbeitung des verbandsverantwortlichkeitsgesetzes vbvg  überarbeitung des sanktionensystems durch  erweiterung und attraktivere gestaltung der  möglichkeiten diversioneller erledigung  überprüfung und überarbeitung der prozessualen bestimmungen  das strafrecht sollte in einzelnen punkten evaluiert  und gegebenenfalls überarbeitet werden so insbesondere  schließung von lücken im korruptionsstrafrecht  z b  einbeziehung von personen in die bestechungsbestimmungen die sich um eine funktion  als amtsträger bewerben  zielgerichtetere verfolgung von jugendstraftaten  sowie effiziente resozialisierung mit bündelung der  notwendigen kompetenzenstrafprozessrecht modernisieren  modernisierung des haupt und rechtsmittelverfahrens u  a  einführung der verpflichtung zur strukturierung  des verhandlungsablaufs in form eines rechtsgesprächs  präzisierungen im bereich des ablaufs der  beweisaufnahme in der hauptverhandlung z  b ;0.0;0_prüfung_schaffung_stärkung_evaluierung;prüfung - schaffung - stärkung - evaluierung - polizei - sicherheit - berücksichtigung - rahmen - beibehaltung - transparenz;1.0;1.0;(7.0, 0.25, 20, 5)
 überarbeitung der derzeit geltenden rechtsgrundlagen hin zu einem modernen maßnahmenvollzugsgesetz unter berücksichtigung der aktuellen  rechtsprechung des egmr insbesondere zum  rechtsschutzsystem berücksichtigung der empfehlungen der evaluierungen zu erhöhten einweisungszahlen  enthaftung von untergebrachten rechtsbrecherinnen und rechtsbrechern ausschließlich  wenn durch gutachten an  gen ommen wird dass  keine weitere gleichartige straftat begangen wird  verbesserung des prozesses des entlassungsmanagements inner und außerhalb von anstalten  berücksichtigung der kosten des maßnahmenvollzugs gem   abs  stgb im rahmen des finanzausgleichs  errichtung einer weiteren sonderanstalt bzw eines  forensischtherapeutischen zentrums für den  bereich des maßnahmenvollzugs gemäß   abs;0.0;0_prüfung_schaffung_stärkung_evaluierung;prüfung - schaffung - stärkung - evaluierung - polizei - sicherheit - berücksichtigung - rahmen - beibehaltung - transparenz;1.0;1.0;(7.0, 0.25, 20, 5)
 die bundesregierung bekennt sich zu dem wirtschaftspolitischen ziel die schuldenquote der  republik weiter in richtung maastrichtziel von      zu senken unabhängig davon werden die notwendigen klima und zukunftsinvestitionen sichergestellt;9.0;9_bekennt_nachhaltige_startups_risikokapital;bekennt - nachhaltige - startups - risikokapital - kmus - investoren - verantwortung - innovative - institutionelle - anlageformen;1.0;1.0;(7.0, 0.25, 20, 5)
steuerreform weiterentwicklung und verbesserung  des berichtswesens z  b  förderbericht  prüfung einer bürgerstiftung klimaschutz anreize  schaffen private dazu zu bewegen in den klimaschutz zu investieren gelingen soll das mithilfe  einer bürgerstiftung klimaschutz die bürgeranleihen vergeben soll;4.0;4_klimaschutz_maßnahmen_gas_twh;klimaschutz - maßnahmen - gas - twh - erneuerbaren - flächen - öffentliche - energie - hand - energieträger;1.0;1.0;(7.0, 0.25, 20, 5)
 die bundesregierung wird das vergaberecht als  wichtiges instrument zur bekämpfung des klimawandels nutzen dazu ist das bestbieterprinzip um  verbindliche ökologische kriterien für die angebotenen produkte und dienstleistungen zu erweitern  z b  öffentliche bautätigkeitentbürokratisierung im   kapitalmarktbereich  das finanzministerium und das justizministerium  evaluieren gemeinsam mit den aufsichtsbehörden  regelmäßig eine mögliche übererfüllung von  eurichtlinien für den kapitalmarkt goldplating;9.0;9_bekennt_nachhaltige_startups_risikokapital;bekennt - nachhaltige - startups - risikokapital - kmus - investoren - verantwortung - innovative - institutionelle - anlageformen;1.0;1.0;(7.0, 0.25, 20, 5)
 erhöhung der freigrenze für geringwertige wirtschaftsgüter gwg auf  euro mit ziel einer  weiteren erhöhung auf  euro für gwg mit  besonderer energieeffizienzklasse mit minimalem  bürokratischen aufwand  vereinfachung ausgewählter sonstiger bezüge z  b ;7.0;7_menschen_gesundheit_schulen_euro;menschen - gesundheit - schulen - euro - positionierung - maßnahmen - erhalt - berücksichtigung - stärkung - gap;1.0;1.0;(7.0, 0.25, 20, 5)
 gesellschaftsform für den alternativen investmentfonds nach vorbild sicav socit dinvestissement  capital variable mit variablem  kapital ermöglichen dabei werden hohe  transparenzstandards sowie der anlegerschutz  berücksichtigt;7.0;7_menschen_gesundheit_schulen_euro;menschen - gesundheit - schulen - euro - positionierung - maßnahmen - erhalt - berücksichtigung - stärkung - gap;1.0;1.0;(7.0, 0.25, 20, 5)
 energieaudits werden auf einen größeren kreis  von unternehmen ausgeweitet um reduktionen im  nonetssektor zu verstärken und in ihrer wirksamkeit verbessert damit unternehmen sich rasch  amortisierende maßnahmen umsetzen;4.0;4_klimaschutz_maßnahmen_gas_twh;klimaschutz - maßnahmen - gas - twh - erneuerbaren - flächen - öffentliche - energie - hand - energieträger;1.0;1.0;(7.0, 0.25, 20, 5)
 geeignete übergangsbedingungen erhalten den  anreiz für unternehmen bereits  neue einsparmaßnahmen zu setzen die über  hinaus  wirksam sind prüfung einer neuen kompetenzgrundlage für die  umsetzung der energieeffizienzrl  sowie  der notwendigkeit und zweckmäßigkeit weiterer  bundeseinheitlicher regelungen  versorgungs und netzsicherheit  gewährleisten  österreichischen integrierten netzinfrastrukturplan  entwickeln  strategische energieplanung mit ländern und gemeinden sowie wirtschaft sicherstellen  erforderliche reservekapazitäten sind für einen  stabilen netzbetrieb unabdingbar und benötigen  daher entsprechende investitions und betriebssicherheit das erforderliche ausmaß wird auf basis  einer entsprechenden transparenten bedarfsprognose bzw evaluierung festgestellt ein fokus erfolgt  auf die einbindung erneuerbarer energieträger um  kleineren erzeugungskapazitäten und industriellen  anlagen die teilnahme am reservekapazitätsmarkt  zu erleichtern sollen die losgrößen reduziert und  pooling ermöglicht werden;8.0;8_umsetzung_weiterentwicklung_lebensmittel_klimaschutz;umsetzung - weiterentwicklung - lebensmittel - klimaschutz - landwirtschaft - maßnahmen - ziel - erneuerbaren - europa - erhalt;1.0;1.0;(7.0, 0.25, 20, 5)
