Document;Topic;Name;Top_n_words;Probability;Representative_document;model
 offentliche und private investitionen von bis zu  mrd eur im zeitraum  mithilfe der cccninvestitionen in die cybersicherheit insbesondere im rahmen der programme digitales europa und horizont europa und der aufbau und resilienzfazilitat ;4.0;4_cybersicherheit_digitalen_aufbau_europa;cybersicherheit - digitalen - aufbau - europa - infrastrukturen - technologien - menschen - europaische - digitale - gerate;1.0;1.0;model 1
 nach der ersten und zweiten bewertung stutzt die kommission jede weitere bewertung gemaß absatz  auf einen indikativen linearen zielpfad durch den das klimaziel der union fur   sobald ein solches ziel angenommen wurde  mit dem ziel der klimaneutralitat gemaß artikel  absatz  verknupft wird;0.0;0_maßnahmen_gemaß_zeitraum_emissionen;maßnahmen - gemaß - zeitraum - emissionen - mitgliedstaat - klimaneutralitat - rahmen - verwirklichung - einschließlich - folgende;1.0;1.0;model 1
verzeichnis der uberwachungsorganisationendie kommission veroffentlicht das verzeichnis der uberwachungsorganisationen im amtsblatt der europaischen union reihe c und macht es auf ihrer webseite zuganglich dieses verzeichnis wird regelmaßig aktualisiert;3.0;3_cybersicherheit_vorschriften_hinaus_verzeichnis;cybersicherheit - vorschriften - hinaus - verzeichnis - daruber - zentren - sollten - einrichtungen - moglich - ermittlungen;1.0;1.0;model 1
   die unterstutzung ist so zu gewahren dass die aufgaben der zustandigen behorden nicht beeintrachtigt werden und dass ihre unabhangigkeit bei der durchsetzung dieser verordnung erhalten bleibt;2.0;2_holz_marktteilnehmer_kontrollen_holzerzeugnisse;holz - marktteilnehmer - kontrollen - holzerzeugnisse - holzerzeugnissen - sorgfaltspflichtregelung - gemaß - zustandigen - uberwachungsorganisation - informationen;1.0;1.0;model 1
   die befugnisubertragung in artikel  absatz  artikel  absatz  und artikel  kann vom europaischen parlament oder vom rat jederzeit widerrufen werden;7.0;7_abl_holz_amtsblatt_einwande;abl - holz - amtsblatt - einwande - rechtsakt - delegierten - parlament - rat - tritt - kraft;1.0;1.0;model 1
 durch eine nachhaltige zusammenarbeit und kooperation wird dieses netz die behorden und alle interessentrager einschließlich der gemeinsamen cyberstelle rechtzeitig vor cybersicherheitsvorfallen warnen konnen siehe abschnitt  es wird als echter cybersicherheitsschutzschild fur die eu dienen und ein solides geflecht aus wachtturmen bieten damit potenzielle bedrohungen erkannt werden konnen bevor sie schwere schaden verursachen ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;model 2
 kinder besser vor sexuellem missbrauch und sexueller ausbeutung schutzen und eine strategie fur die rechte des kindes verabschieden ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;0.9960780018130108;1.0;model 2
 kinder besser vor sexuellem missbrauch und sexueller ausbeutung schutzen und eine strategie fur die rechte des kindes verabschieden ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;model 2
 sicherheit und widerstandsfahigkeit der lieferkette insbesondere im nachgang zur gerekerhebung uber smsm ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;model 2
"
               die kommission und die mitgliedstaaten mussen außerdem dafur sorgen dass die politik und die rechtsvorschriften wirksam durch und umgesetzt werden die uberprufung der umsetzung des umweltrechts wird eine entscheidende rolle bei der systematischen erfassung des sachstands in jedem mitgliedstaat spielen die kommission wird außerdem ein neues umweltaktionsprogramm vorlegen das den europaischen grunen deal erganzt und einen neuen uberwachungsmechanismus enthalt der sicherstellen soll dass europa auch kunftig auf kurs zur verwirklichung seiner umweltziele bleibt daruber hinaus wird die kommission ein dashboard fur die uberwachung der fortschritte bei allen zielen des europaischen grunen deals einrichten 
            ";0.0;0_gemaß_maßnahmen_einschließlich_emissionen;gemaß - maßnahmen - einschließlich - emissionen - zeitraum - mitgliedstaat - folgende - rahmen - holz - klimaneutralitat;1.0;1.0;model 2
 die unionsweiten im unionsrecht geregelten treibhausgasemissionen und deren abbau mussen in der union bis spatestens  ausgeglichen sein sodass die emissionen bis zu diesem zeitpunkt auf netto null reduziert sind und die union strebt danach negative emissionen an;0.0;0_gemaß_maßnahmen_einschließlich_emissionen;gemaß - maßnahmen - einschließlich - emissionen - zeitraum - mitgliedstaat - folgende - rahmen - holz - klimaneutralitat;1.0;1.0;model 2
   die marktteilnehmer lassen die gebotene sorgfalt walten wenn sie holz oder holzerzeugnisse in verkehr bringen zu diesem zweck wenden sie eine regelung mit verfahren und maßnahmen nachstehend sorgfaltspflichtregelung genannt an die in artikel  genauer ausgefuhrt ist;0.0;0_gemaß_maßnahmen_einschließlich_emissionen;gemaß - maßnahmen - einschließlich - emissionen - zeitraum - mitgliedstaat - folgende - rahmen - holz - klimaneutralitat;1.0;1.0;model 2
 durch eine nachhaltige zusammenarbeit und kooperation wird dieses netz die behorden und alle interessentrager einschließlich der gemeinsamen cyberstelle rechtzeitig vor cybersicherheitsvorfallen warnen konnen siehe abschnitt  es wird als echter cybersicherheitsschutzschild fur die eu dienen und ein solides geflecht aus wachtturmen bieten damit potenzielle bedrohungen erkannt werden konnen bevor sie schwere schaden verursachen ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;model 3
 zudem wird der hohe vertreter unter beteiligung der kommission eine aktualisierung der leitlinien zur umsetzung des instrumentariums fur die cyberdiplomatie   auch im hinblick auf eine effizientere beschlussfassung vorschlagen und weiter regelmaßig ubungen und bewertungen im zusammenhang mit dem instrumentarium fur die cyberdiplomatie organisieren daruber hinaus sollte die eu das instrumentarium fur die cyberdiplomatie starker in die krisenmechanismen der eu integrieren und synergien mit den anstrengungen gegen hybride bedrohungen desinformation und auslandische einmischung im rahmen des gemeinsamen rahmens fur die abwehr hybrider bedrohungen  und des europaischen aktionsplans fur demokratie anstreben in diesem zusammenhang sollte die eu uberlegungen uber die wechselwirkungen zwischen dem instrumentarium fur die cyberdiplomatie und der moglichen anwendung des artikels  absatz  euv und des artikels  aeuv  anstellen ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;model 3
 schließlich konnen auch zivile gsvpmissionen die im rahmen des paktes fur die zivile gsvp von   durchgefuhrt werden zum umfassenderen vorgehen der eu zur bewaltigung der herausforderungen im bereich der cybersicherheit gehoren insbesondere durch forderung der rechtsstaatlichkeit in partnerlandern und starkung ihrer kapazitaten im bereich der strafverfolgung und zivilverwaltung ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;model 3
"
               die konferenz der vertragsparteien des ubereinkommens uber die biologische vielfalt die im oktober  in kunming china stattfindet bietet der welt die gelegenheit einen soliden globalen rahmen zu schaffen mit dem dem biodiversitatsverlust einhalt geboten wird um sicherzustellen dass die eu eine schlusselrolle spielt wird die kommission bis marz  eine biodiversitatsstrategie vorlegen auf die  spezifische maßnahmen folgen sollen in der strategie wird der standpunkt der eu fur die konferenz der vertragsparteien dargelegt der globale ziele zum schutz der biodiversitat sowie verpflichtungen zur bekampfung der hauptursachen des biodiversitatsverlusts in der eu umfasst sie stutzt sich auf messbare zielvorgaben in bezug auf die hauptursachen des biodiversitatsverlusts 
            ";0.0;0_gemaß_maßnahmen_einschließlich_emissionen;gemaß - maßnahmen - einschließlich - emissionen - zeitraum - mitgliedstaat - folgende - rahmen - holz - klimaneutralitat;1.0;1.0;model 3
   die zustandigen behorden uberprufen im rahmen regelmaßiger kontrollen dass die in ihrem zustandigkeitsbereich tatigen uberwachungsorganisationen die aufgaben gemaß absatz  weiterhin erfullen und den anforderungen gemaß absatz  weiterhin genugen kontrollen konnen auch vorgenommen werden wenn der zustandigen behorde des mitgliedstaats einschlagige informationen einschließlich begrundeter bedenken dritter vorliegen oder wenn die behorde mangel bei der durchfuhrung einer von einer uberwachungsorganisation erstellten sorgfaltspflichtregelung durch die marktteilnehmer festgestellt hat ein bericht uber die kontrollen ist gemaß der richtlinie eg zuganglich zu machen;0.0;0_gemaß_maßnahmen_einschließlich_emissionen;gemaß - maßnahmen - einschließlich - emissionen - zeitraum - mitgliedstaat - folgende - rahmen - holz - klimaneutralitat;1.0;1.0;model 3
   die in absatz  genannten kontrollen sind nach einem regelmaßig zu uberprufenden plan und aufgrund eines risikobasierten ansatzes vorzunehmen kontrollen konnen auch vorgenommen werden wenn einer zustandigen behorde einschlagige informationen auch solche aufgrund begrundeter bedenken dritter uber die einhaltung dieser verordnung durch einen marktteilnehmer vorliegen;0.0;0_gemaß_maßnahmen_einschließlich_emissionen;gemaß - maßnahmen - einschließlich - emissionen - zeitraum - mitgliedstaat - folgende - rahmen - holz - klimaneutralitat;1.0;1.0;model 3
 die gemeinsame cyberstelle wurde drei hauptziele erfullen erstens wurde sie sicherstellen dass alle cyberkreise vorbereitet sind zweitens wurde der informationsaustausch fur eine stetige gemeinsame lageerfassung sorgen drittens wurde die cyberstelle die koordinierte reaktion und wiederherstellung starken um diese ziele zu erreichen sollte sich die stelle auf genau definierte blocke und ziele stutzen etwa die gewahrleistung eines sicheren und raschen informationsaustauschs die verbesserung der zusammenarbeit zwischen den beteiligten einschließlich der interaktion zwischen den mitgliedstaaten und den einschlagigen eueinrichtungen den aufbau strukturierter partnerschaften mit vertrauenswurdigen unternehmen und die erleichterung eines koordinierten ansatzes fur die zusammenarbeit mit externen partnern so konnte die cyberstelle ausgehend von einer bestandsaufnahme der auf nationaler und euebene vorhandenen fahigkeiten die entwicklung eines rahmens fur die zusammenarbeit erleichtern ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;model 4
 die eucyberabschreckung voranbringen um fur vorbeugung abschreckung und reaktion im hinblick auf boswillige cyberaktivitaten zu sorgen ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;model 4
 die entwicklung einer militarischen vision und strategie der eu fur den cyberraum als einsatzbereich fur militarische gsvpmissionen und operationen fordern ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;model 4
 bei der vorlage ihres legislativvorschlags fur das klimaziel der union fur  gemaß absatz  veroffentlicht die kommission gleichzeitig in einem gesonderten bericht das projizierte indikative treibhausgasbudget der union fur den zeitraum von  bis  definiert als die indikative gesamtmenge der nettotreibhausgasemissionen als coaquivalent und mit gesonderten informationen uber die emissionen und den abbau von treibhausgasen die voraussichtlich in diesem zeitraum emittiert werden ohne dadurch die verpflichtungen der union gemaß dem ubereinkommen von paris zu gefahrden das projizierte indikative treibhausgasbudget der union grundet sich auf die besten verfugbaren wissenschaftlichen erkenntnisse wobei die empfehlungen des beirats sowie soweit angenommen die einschlagigen rechtsvorschriften der union zur umsetzung des klimaziels der union fur  berucksichtigt werden die kommission veroffentlicht ebenfalls die methodik die dem projizierten indikativen treibhausgasbudget der union zugrunde liegt;0.0;0_gemaß_maßnahmen_einschließlich_emissionen;gemaß - maßnahmen - einschließlich - emissionen - zeitraum - mitgliedstaat - folgende - rahmen - holz - klimaneutralitat;1.0;1.0;model 4
 nach der ersten und zweiten bewertung stutzt die kommission jede weitere bewertung gemaß absatz  auf einen indikativen linearen zielpfad durch den das klimaziel der union fur   sobald ein solches ziel angenommen wurde  mit dem ziel der klimaneutralitat gemaß artikel  absatz  verknupft wird;0.0;0_gemaß_maßnahmen_einschließlich_emissionen;gemaß - maßnahmen - einschließlich - emissionen - zeitraum - mitgliedstaat - folgende - rahmen - holz - klimaneutralitat;1.0;1.0;model 4
   wenn nach den kontrollen gemaß absatz  mangel entdeckt wurden kann die zustandige behorde unbeschadet der bestimmungen des artikels  dem marktteilnehmer abhilfemaßnahmen vorschreiben zusatzlich konnen die mitgliedstaaten je nach der art der festgestellten mangel vorlaufige sofortmaßnahmen treffen die unter anderem folgendes umfassen konnenabeschlagnahme des holzes und der holzerzeugnissebein verbot der vermarktung von holz und holzerzeugnissen;0.0;0_gemaß_maßnahmen_einschließlich_emissionen;gemaß - maßnahmen - einschließlich - emissionen - zeitraum - mitgliedstaat - folgende - rahmen - holz - klimaneutralitat;1.0;1.0;model 4
 um die fahigkeit der eu zur vorbeugung abschreckung und reaktion im hinblick auf boswillige cyberaktivitaten zu starken wird der hohe vertreter unter beteiligung der kommission im einklang mit deren zustandigkeiten einen vorschlag zur naheren definition der eucyberabschreckung vorlegen aufbauend auf den bisherigen arbeiten im rahmen des instrumentariums fur die cyberdiplomatie sollte die cyberabschreckung zum verantwortungsvollen verhalten und zur zusammenarbeit der staaten im cyberraum beitragen und besondere vorgaben zur bekampfung jener cyberangriffe enthalten die die massivsten auswirkungen haben insbesondere solche die unsere kritische infrastrukturen und demokratischen institutionen und verfahren betreffen   sowie angriffe auf lieferketten und den durch den cyberraum ermoglichten diebstahl geistigen eigentums im rahmen der cyberabschreckung sollte dargelegt werden wie die eu und die mitgliedstaaten ihre politischen wirtschaftlichen diplomatischen rechtlichen und strategischen kommunikationsmittel gegen boswillige cyberaktivitaten wirksamer einsetzen und ihre fahigkeiten zur zuordnung boswilliger cyberaktivitaten ausbauen konnen daruber hinaus wird der hohe vertreter gemeinsam mit dem rat und der kommission zusatzliche maßnahmen im rahmen des instrumentariums fur die cyberdiplomatie in betracht ziehen einschließlich der moglichkeit weiterer optionen fur restriktive maßnahmen sowie der prufung der abstimmung mit qualifizierter mehrheit uber die listenaufnahme im rahmen der horizontalen sanktionsregelung gegen cyberangriffe außerdem sollte die eu weitere anstrengungen unternehmen um die zusammenarbeit mit internationalen partnern einschließlich der nato zu starken das gemeinsame verstandnis der bedrohungslandschaft voranzubringen kooperationsmechanismen zu entwickeln und kooperative diplomatische reaktionen zu identifizieren ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;model 5
 um ihre vision des cyberraums auf internationaler ebene voranzubringen muss die eu ihr engagement und ihre fuhrungsrolle im rahmen internationaler normungsverfahren verstarken und ihre vertretung in internationalen und europaischen normungsgremien sowie in anderen normungsorganisationen ausbauen   da sich digitale technologien rasch entwickeln gewinnen internationale standards die traditionelle regulierungsanstrengungen erganzen in bereichen wie ki cloud quanteninformatik und quantenkommunikation zunehmend an bedeutung drittlander setzen zunehmend auf internationale normung um ihre politische und ideologische agenda voranzubringen die haufig nicht den werten der eu entspricht daruber hinaus wachst die gefahr dass konkurrierende internationale normensysteme entstehen was zu einer fragmentierung fuhren wurde ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;model 5
 die eucyberabschreckung voranbringen um fur vorbeugung abschreckung und reaktion im hinblick auf boswillige cyberaktivitaten zu sorgen ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;model 5
 bei der vorlage ihres legislativvorschlags fur das klimaziel der union fur  gemaß absatz  veroffentlicht die kommission gleichzeitig in einem gesonderten bericht das projizierte indikative treibhausgasbudget der union fur den zeitraum von  bis  definiert als die indikative gesamtmenge der nettotreibhausgasemissionen als coaquivalent und mit gesonderten informationen uber die emissionen und den abbau von treibhausgasen die voraussichtlich in diesem zeitraum emittiert werden ohne dadurch die verpflichtungen der union gemaß dem ubereinkommen von paris zu gefahrden das projizierte indikative treibhausgasbudget der union grundet sich auf die besten verfugbaren wissenschaftlichen erkenntnisse wobei die empfehlungen des beirats sowie soweit angenommen die einschlagigen rechtsvorschriften der union zur umsetzung des klimaziels der union fur  berucksichtigt werden die kommission veroffentlicht ebenfalls die methodik die dem projizierten indikativen treibhausgasbudget der union zugrunde liegt;0.0;0_maßnahmen_gemaß_zeitraum_emissionen;maßnahmen - gemaß - zeitraum - emissionen - einschließlich - mitgliedstaat - klimaneutralitat - rahmen - verwirklichung - folgende;1.0;1.0;model 5
 stellt die kommission anhand der in den absatzen  und  dieses artikels genannten bewertungen fest dass die unionsmaßnahmen nicht mit dem ziel der klimaneutralitat gemaß artikel  absatz  vereinbar sind bzw nicht damit vereinbar sind fortschritte bei der anpassung gemaß artikel  sicherzustellen oder dass die fortschritte bei der verwirklichung dieses ziels der klimaneutralitat oder bei der anpassung gemaß artikel  unzureichend sind so trifft sie die erforderlichen maßnahmen im einklang mit den vertragen;0.0;0_maßnahmen_gemaß_zeitraum_emissionen;maßnahmen - gemaß - zeitraum - emissionen - einschließlich - mitgliedstaat - klimaneutralitat - rahmen - verwirklichung - folgende;1.0;1.0;model 5
 die kommission nutzt alle geeigneten instrumente einschließlich des europaischen klimapakts um burger sozialpartner und interessentrager einzubinden und den dialog und die verbreitung wissenschaftlich fundierter informationen uber den klimawandel und seine sozialen und geschlechtsspezifischen aspekte zu fordern;0.0;0_maßnahmen_gemaß_zeitraum_emissionen;maßnahmen - gemaß - zeitraum - emissionen - einschließlich - mitgliedstaat - klimaneutralitat - rahmen - verwirklichung - folgende;1.0;1.0;model 5
 die verordnung eu  wird wie folgt geändert in artikel  werden folgende nummern  und  angefügt  geografisches informationssystem ein itsystem zur erfassung speicherung analyse und darstellung geografisch referenzierter informationen  geodatenbasierter antrag ein elektronisches antragsformular einschließlich einer itanwendung auf der grundlage eines geografischen informationssystems über das die begünstigten die landwirtschaftlichen parzellen des betriebs und nichtlandwirtschaftliche flächen für die zahlungen beantragt werden raumbezogen melden können artikel  buchstabe a nummer  ziffer ii erhält folgende fassung die verpflichtungen und nationalen zielvorgaben des mitgliedstaats für den nettoabbau von treibhausgasen gemäß artikel  absätze  und  der verordnung eu  und seine beiträge durch die das unionsziel gemäß artikel  absatz  der genannten verordnung verwirklicht werden soll die nettotreibhausgasemissionen bis  auf null zu reduzieren und danach negative emissionen zu erreichen artikel  wird wie folgt geändert afolgender absatz a wird eingefügt im jahr  unterzieht die kommission die von den mitgliedstaaten gemäß artikel  absatz  der vorliegenden verordnung übermittelten daten aus den nationalen inventaren einer umfassenden überprüfung um die jährlichen zielvorgaben für die reduktion der nettotreibhausgasemissionen der mitgliedstaaten gemäß artikel  absatz  der verordnung eu  und die jährlichen emissionszuweisungen der mitgliedstaaten gemäß artikel  absatz  der verordnung eu  festzulegen bin absatz  erhält der einleitende satz folgende fassung die umfassende überprüfung nach den absätzen  und a enthält cabsatz  erhält folgende fassung nach abschluss der umfassenden überprüfung gemäß absatz  bestimmt die kommission im wege von durchführungsrechtsakten die gesamtsumme der emissionen für das betreffende jahr die sich aus den für jeden mitgliedstaat vorliegenden korrigierten inventardaten ergibt aufgeschlüsselt nach den unter artikel  der verordnung eu  fallenden emissionsdaten und den in anhang v teil  buchstabe c der vorliegenden verordnung genannten emissionsdaten und bestimmt die gesamtsumme der unter artikel  der verordnung eu  fallenden emissionen und des abbaus anhang v wird gemäß anhang iii dieser verordnung geändert ;2.0;2_holz_gemaß_holzerzeugnissen_marktteilnehmer;holz - gemaß - holzerzeugnissen - marktteilnehmer - kontrollen - holzerzeugnisse - zustandigen - sorgfaltspflichtregelung - behorden - uberwachungsorganisation;1.0;1.0;model 5
   die unterstutzung ist so zu gewahren dass die aufgaben der zustandigen behorden nicht beeintrachtigt werden und dass ihre unabhangigkeit bei der durchsetzung dieser verordnung erhalten bleibt;2.0;2_holz_gemaß_holzerzeugnissen_marktteilnehmer;holz - gemaß - holzerzeugnissen - marktteilnehmer - kontrollen - holzerzeugnisse - zustandigen - sorgfaltspflichtregelung - behorden - uberwachungsorganisation;1.0;1.0;model 5
   die der kommission ubertragene befugnis zum erlass delegierter rechtsakte unterliegt den in den artikeln  und  festgelegten bedingungen;2.0;2_holz_gemaß_holzerzeugnissen_marktteilnehmer;holz - gemaß - holzerzeugnissen - marktteilnehmer - kontrollen - holzerzeugnisse - zustandigen - sorgfaltspflichtregelung - behorden - uberwachungsorganisation;1.0;1.0;model 5
