topic,examples
9,"(9) Die notifizierten Stellen sind in der Lage, die ihnen durch diese Verordnung zufallenden Aufgaben mit höchster beruflicher Integrität und der erforderlichen Fachkompetenz in dem betreffenden Bereich auszuführen, gleichgültig, ob diese Aufgaben von den notifizierten Stellen selbst oder in ihrem Auftrag und in ihrer Verantwortung erfüllt werden."
9,"(2) Die notifizierten Stellen tragen die volle Verantwortung für die Arbeiten, die von Unterauftragnehmern oder Zweigstellen ausgeführt werden, unabhängig davon, wo diese niedergelassen sind."
9,"(1) Im Zusammenhang mit ihren Tätigkeiten erhalten die Marktüberwachungsbehörden uneingeschränkten Zugang zu den von den Anbietern genutzten Trainings-, Validierungs- und Testdatensätzen, auch über Anwendungsprogrammierschnittstellen (API) oder sonstige für den Fernzugriff geeignete technische Mittel und Instrumente."
10,(2) Im Arbeitsprogramm können kürzere Zeiträume als der in Absatz 1 festgelegten festgelegt werden.
10,"(2) Die Frist läuft ab dem Tag, an dem die Zuwiderhandlung begangen worden ist. Im Fall andauernder oder wiederholter Zuwiderhandlungen läuft die Frist jedoch erst ab dem Tag, an dem die Zuwiderhandlung beendet wird."
10,"(2) Die Bescheinigungen sind für die darin genannte Dauer gültig, die maximal fünf Jahre beträgt. Auf Antrag des Anbieters kann die Gültigkeit einer Bescheinigung auf der Grundlage einer Neubewertung gemäß den geltenden Konformitätsbewertungsverfahren um weitere Zeiträume von jeweils höchstens fünf Jahren verlängert werden."
11,"(6) Die Begünstigten gewähren a) jedem anderen an der Maßnahme teilnehmenden Begünstigten, der die Ergebnisse zur Durchführung eigener Aufgaben benötigt, unentgeltlichen Zugang zu ihren Ergebnissen; b) jedem anderen an der Maßnahme teilnehmenden Begünstigten, der die Ergebnisse zur Durchführung eigener Aufgaben benötigt, vorbehaltlich etwaiger Einschränkungen im Sinne von Absatz 3, Zugang zu ihren Grundlagen: diese Zugangsrechte werden unentgeltlich gewährt, soweit keine andere Vereinbarung zwischen den Begünstigten vor ihrem Beitritt zur Finanzhilfevereinbarung getroffen wurde; c) jedem anderen an der Maßnahme teilnehmenden Begünstigten, der die Ergebnisse zur Nutzung eigener Ergebnisse benötigt, Zugang zu ihren Ergebnissen und — vorbehaltlich etwaiger Einschränkungen im Sinne von Absatz 3 — zu ihren Grundlagen; diese Zugangsrechte werden zu fairen und angemessenen Bedingungen gewährt, die zu vereinbaren sind."
11,"(5) Kommt ein Begünstigter seinen Verpflichtungen nicht nach, können die Begünstigten vereinbaren, diesem Begünstigten das Zugangsrecht zu entziehen."
11,"(2) Sofern nicht anderweitig für konkret benannte Dritte, darunter für verbundene Stellen, schriftlich vereinbart oder nach geltendem Recht unmöglich, unterrichten die Begünstigten, die beabsichtigen, das Eigentum an ihren Ergebnissen zu übertragen, alle anderen Begünstigten, die nach wie vor Zugangsrechte zu diesen Ergebnissen haben, im Voraus über ihre Absicht. Die Mitteilung enthält hinreichende Angaben zum neuen Eigentümer, sodass ein Begünstigter die Auswirkungen auf seine Zugangsrechte bewerten kann. Sofern nicht anderweitig für konkret benannte Dritte, darunter für verbundene Stellen, schriftlich vereinbart, kann ein Begünstigter Einwände gegen die Übertragung des Eigentums an Ergebnissen durch einen anderen Begünstigten erheben, wenn er nachweisen kann, dass sich diese Übertragung nachteilig auf seine Zugangsrechte auswirken würde. In diesem Fall erfolgt die Übertragung erst, wenn zwischen den betreffenden Begünstigten eine Einigung erzielt wurde. In der Finanzhilfevereinbarung werden Fristen dafür festgelegt."
12,"Bei anderen als den unter Absatz 1 fallenden Datenverarbeitungsdiensten stellen die 
Anbieter von Datenverarbeitungsdiensten offene Schnittstellen öffentlich und 
kostenlos bereit. 
"
12,"(5) Der Torwächter gibt Endnutzern die Möglichkeit, über seine zentralen Plattformdienste durch Nutzung der Software-Anwendung eines gewerblichen Nutzers auf Inhalte, Abonnements, Funktionen oder andere Elemente zuzugreifen und diese zu nutzen, auch wenn diese Endnutzer diese Elemente bei dem betreffenden gewerblichen Nutzer ohne Nutzung der zentralen Plattformdienste des Torwächters erworben haben."
12,"(2) Der Torwächter darf a) personenbezogene Daten von Endnutzern, die Dienste Dritter nutzen, welche zentrale Plattformdienste des Torwächters in Anspruch nehmen, nicht zum Zweck des Betriebs von Online-Werbediensten verarbeiten, b) personenbezogene Daten aus dem betreffenden zentralen Plattformdienst nicht mit personenbezogenen Daten aus weiteren zentralen Plattformdiensten oder aus anderen vom Torwächter bereitgestellten Diensten oder mit personenbezogenen Daten aus Diensten Dritter zusammenführen, c) personenbezogene Daten aus dem betreffenden zentralen Plattformdienst nicht in anderen vom Torwächter getrennt bereitgestellten Diensten, einschließlich anderer zentraler Plattformdienste, weiterverwenden und umgekehrt und d) Endnutzer nicht in anderen Diensten des Torwächters anmelden, um personenbezogene Daten zusammenzuführen, außer wenn dem Endnutzer die spezifische Wahl gegeben wurde und er im Sinne des Artikels 4 Nummer 11 und des Artikels 7 der Verordnung (EU) 2016/679 eingewilligt hat. Wurde die für die Zwecke des Unterabsatz 1 gegebene Einwilligung vom Endnutzer verweigert oder widerrufen, so darf der Torwächter sein Ersuchen um Einwilligung für denselben Zweck innerhalb eines Jahres nicht mehr als einmal wiederholen. Dieser Absatz berührt nicht die Möglichkeit des Torwächters, sich gegebenenfalls auf Artikel 6 Absatz 1 Buchstaben c, d und e der Verordnung (EU) 2016/679 zu berufen."
13,"Jeder Mitgliedstaat benennt eine oder mehrere zuständige Behörden, die für die 
Anwendung und Durchsetzung dieser Verordnung verantwortlich sind. Die 
Mitgliedstaaten können eine oder mehrere neue Behörden einrichten oder sich auf 
bestehende Behörden stützen. 
"
13,"Die Mitgliedstaaten sorgen dafür, dass die jeweiligen Aufgaben und Befugnisse der 
nach Absatz 1 benannten zuständigen Behörden eindeutig festgelegt werden und 
Folgendes umfassen: 
a) Sensibilisierung von Nutzern und Rechtsträgern, die in den 
Anwendungsbereich dieser Verordnung fallen, für die Rechte und Pflichten aus 
dieser Verordnung; 
b) Bearbeitung von Beschwerden über mutmaßliche Verstöße gegen diese 
Verordnung, angemessene Untersuchung des Beschwerdegegenstands und 
Unterrichtung des Beschwerdeführers innerhalb einer angemessenen Frist über 
den Fortgang und das Ergebnis der Untersuchung, insbesondere, wenn eine 
weitere Untersuchung oder eine Koordinierung mit einer anderen zuständigen 
Behörde notwendig ist; 
c) Durchführung von Untersuchungen über Fragen der Anwendung dieser 
Verordnung, auch auf der Grundlage von Informationen einer anderen 
zuständigen Behörde oder einer sonstigen Behörde; 
d) Verhängung abschreckender finanzieller Sanktionen, die auch Zwangsgelder 
und Geldstrafen mit Rückwirkung umfassen können, im Verwaltungsverfahren 
oder Einleitung von Gerichtsverfahren zur Verhängung von Geldbußen; 
e) Beobachtung technischer Entwicklungen, die für die Bereitstellung und 
Nutzung von Daten von Bedeutung sind; 
f) Zusammenarbeit mit den zuständigen Behörden anderer Mitgliedstaaten, um 
die einheitliche Anwendung dieser Verordnung zu gewährleisten, 
einschließlich des unverzüglichen Austauschs aller relevanten Informationen 
auf elektronischem Wege; 
g) Gewährleistung der Online-Veröffentlichung der von öffentlichen Stellen bei 
Notständen nach Kapitel V gestellten Datenzugangsverlangen; 
h) Zusammenarbeit mit allen einschlägigen zuständigen Behörden zur 
Gewährleistung der Durchsetzung der Pflichten des Kapitels VI im Einklang 
mit anderen Rechtsvorschriften der Union und mit der Selbstregulierung, die 
für Anbieter von Datenverarbeitungsdiensten gelten; 
i) Gewährleistung der Abschaffung von Entgelten für den Wechsel zwischen 
Anbietern von Datenverarbeitungsdiensten gemäß Artikel 25. 
"
13,"Die Mitgliedstaaten sorgen dafür, dass die benannten zuständigen Behörden mit den 
erforderlichen Mitteln ausgestattet werden, damit sie ihre Aufgaben gemäß dieser 
Verordnung angemessen wahrnehmen können. 
"
14,"Änderung der Richtlinie 2014/90/EU In Artikel 8 der Richtlinie 2014/90/EU wird folgender Absatz angefügt: „(4) Bei Systemen der künstlichen Intelligenz, bei denen es sich um Sicherheitskomponenten im Sinne der Verordnung (EU) YYY/XX [über Künstliche Intelligenz] des Europäischen Parlaments und des Rates* handelt, berücksichtigt die Kommission bei der Ausübung ihrer Tätigkeiten nach Absatz 1 und bei Erlass technischer Spezifikationen und Prüfnormen nach den Absätzen 2 und 3 die in Titel III Kapitel 2 jener Verordnung festgelegten Anforderungen."
14,"Änderung der Verordnung (EU) 2018/1139 Die Verordnung (EU) 2018/1139 wird wie folgt geändert: 1. In Artikel 17 wird folgender Absatz angefügt: „(3) „Unbeschadet des Absatzes 2 werden beim Erlass von Durchführungsrechtakten nach Absatz 1, die sich auf Systeme der künstlichen Intelligenz beziehen, bei denen es sich um Sicherheitskomponenten im Sinne der Verordnung (EU) YYY/XX [über Künstliche Intelligenz] des Europäischen Parlaments und des Rates* handelt, die in Titel III Kapitel 2 jener Verordnung festgelegten Anforderungen berücksichtigt. __________ * Verordnung (EU) YYY/XX [über Künstliche Intelligenz] (ABl...)“ 2. In Artikel 19 wird folgender Absatz angefügt: „(4) „Beim Erlass delegierter Rechtsakte nach den Absätzen 1 und 2, die sich auf Systeme der künstlichen Intelligenz beziehen, bei denen es sich um Sicherheitskomponenten im Sinne der Verordnung (EU) YYY/XX [über Künstliche Intelligenz] des Europäischen Parlaments und des Rates* handelt, werden die in Titel III Kapitel 2 jener Verordnung festgelegten Anforderungen berücksichtigt.“ 3. In Artikel 43 wird folgender Absatz angefügt: „(4) „Beim Erlass von Durchführungsrechtsakten nach Absatz 1, die sich auf Systeme der künstlichen Intelligenz beziehen, bei denen es sich um Sicherheitskomponenten im Sinne der Verordnung (EU) YYY/XX [über Künstliche Intelligenz] des Europäischen Parlaments und des Rates* handelt, werden die in Titel III Kapitel 2 jener Verordnung festgelegten Anforderungen berücksichtigt.“ 4. In Artikel 47 wird folgender Absatz angefügt: „(3) „Beim Erlass delegierter Rechtsakte nach den Absätzen 1 und 2, die sich auf Systeme der künstlichen Intelligenz beziehen, bei denen es sich um Sicherheitskomponenten im Sinne der Verordnung (EU) YYY/XX [über Künstliche Intelligenz] des Europäischen Parlaments und des Rates* handelt, werden die in Titel III Kapitel 2 jener Verordnung festgelegten Anforderungen berücksichtigt.“ 5. In Artikel 57 wird folgender Absatz angefügt: „Beim Erlass solcher Durchführungsrechtsakte, die sich auf Systeme der künstlichen Intelligenz beziehen, bei denen es sich um Sicherheitskomponenten im Sinne der Verordnung (EU) YYY/XX [über Künstliche Intelligenz] des Europäischen Parlaments und des Rates* handelt, werden die in Titel III Kapitel 2 jener Verordnung festgelegten Anforderungen berücksichtigt.“ 6. In Artikel 58 wird folgender Absatz angefügt: „(3) Beim Erlass delegierter Rechtsakte nach den Absätzen 1 und 2, die sich auf Systeme der künstlichen Intelligenz beziehen, bei denen es sich um Sicherheitskomponenten im Sinne der Verordnung (EU) YYY/XX [über Künstliche Intelligenz] des Europäischen Parlaments und des Rates* handelt, werden die in Titel III Kapitel 2 jener Verordnung festgelegten Anforderungen berücksichtigt.“"
14,"Änderung der Verordnung (EU) Nr. 168/2013 In Artikel 22 Absatz 5 der Verordnung (EG) Nr. 168/2013 wird folgender Unterabsatz angefügt: „Beim Erlass delegierter Rechtsakte nach Unterabsatz 1, die sich auf Systeme der künstlichen Intelligenz beziehen, bei denen es sich um Sicherheitskomponenten im Sinne der Verordnung (EU) YYY/XX [über Künstliche Intelligenz] des Europäischen Parlaments und des Rates* handelt, werden die in Titel III Kapitel 2 jener Verordnung festgelegten Anforderungen berücksichtigt."
15,Artikel 11 Überprüfung der Tätigkeitsbereiche der Missionen und Partnerschaften Bis zum 31. Dezember 2023 führt die Kommission eine Überprüfung des Anhangs VI dieser Verordnung als Teil der Gesamtüberwachung des Programms — einschließlich der Missionen und gemäß Artikel 185 oder 187 AEUV eingerichteten institutionalisierten europäischen Partnerschaften — durch und legt dem Europäischen Parlament und dem Rat einen Bericht über die wichtigsten Erkenntnisse vor.
15,"(1) Bis zum 3. Mai 2026 und danach alle drei Jahre wird die Kommission diese Verordnung evaluieren und dem Europäischen Parlament, dem Rat und dem Europäischen Wirtschafts- und Sozialausschuss einen Bericht vorlegen."
15,"Artikel 35 Bewertung und Überprüfung Bis zum 24. September 2025 führt die Kommission eine Bewertung dieser Verordnung durch und übermittelt dem Europäischen Parlament und dem Rat sowie dem Europäischen Wirtschafts- und Sozialausschuss einen Bericht über ihre wichtigsten Ergebnisse. Dem Bericht werden, soweit erforderlich, Gesetzgebungsvorschläge beigefügt. Dabei wird in dem Bericht insbesondere Folgendes bewertet: a) Anwendung und Funktionsweise der von den Mitgliedstaaten gemäß Artikel 34 festgelegten Sanktionsvorschriften; b) Grad der Einhaltung dieser Verordnung durch die gesetzlichen Vertreter von Anbietern von Datenvermittlungsdiensten und anerkannten datenaltruistischen Organisationen, die nicht in der Union niedergelassen sind, und Grad der Durchsetzbarkeit von verhängten Sanktionen gegen diese Anbieter und Organisationen; c) Art der gemäß Kapitel IV eingetragenen datenaltruistischen Organisationen und ein Überblick über die mit der gemeinsamen Datennutzung verfolgten Zwecke von allgemeinem Interesse, um diesbezüglich klare Kriterien festzulegen. Die Mitgliedstaaten übermitteln der Kommission alle zur Ausarbeitung dieses Berichts erforderlichen Informationen."
